,album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,lyric,negative_emotion,positive_emotion,friends,children,speaking,optimism,family,love,pain,violence,hate
69,Speak Now,Speak Now,Taylor Swift,,0.709,0.599,7,-3.734,1,0.0304,0.095,0.0,0.0973,0.735,118.975,4,240760,False,G,major,G major,"[""i am not the kind of girl who should be rudely barging in on a white veil occasion but you are not the kind of boy who should be marrying the wrong girl   i sneak in and see your friends and her snotty little family all dressed in pastel and she is yelling at a bridesmaid somewhere back inside a room wearing a gown shaped like a pastry  pre this is surely not what you thought it would be i lose myself in a daydream where i stand and say   don't say yes run away now i'll meet you when you're out of the church at the back door don't wait or say a single vow you need to hear me out and they said speak now   fond gestures are exchanged and the organ starts to play a song that sounds like a death march and i am hiding in the curtains it seems that i was uninvited by your lovely bridetobe  pre she floats down the aisle like a pageant queen but i know you wish it was me you wish it was me don't you   don't say yes run away now i'll meet you when you're out of the church at the back door don't wait or say a single vow you need to hear me out and they said speak now   don't say yes run away now i'll meet you when you're out of the church at the back door don't wait or say a single vow your time is running out and they said speak now  interlude ooh ladadada oh ooh ooh say a single vow   i hear the preacher say speak now or forever hold your peace there's the silence there's my last chance i stand up with shaking hands all eyes on me horrified looks from everyone in the room but i'm only looking at you   i am not the kind of girl who should be rudely barging in on a white veil occasion but you are not the kind of boy who should be marrying the wrong girl hehe   so don't say yes run away now i'll meet you when you're out of the church at the back door don't wait or say a single vow you need to hear me out and they said speak now    variation and you say let's run away now i'll meet you when i'm out of my tux at the back door baby i didn't say my vows so glad you were around when they said speak now""]",4.0,4.0,7.0,13.0,19.0,3.0,2.0,0.0,1.0,1.0,0.0
70,Speak Now,Dear John,Taylor Swift,,0.589,0.47,4,-5.32,1,0.028,0.166,1.45e-06,0.112,0.102,119.386,3,403920,False,E,major,E major,"[""long were the nights when my days once revolved around you counting my footsteps praying the floor won't fall through again my mother accused me of losing my mind but i swore i was fine you paint me a blue sky then go back and turn it to rain and i lived in your chess game but you changed the rules everyday wonderin' which version of you i might get on the phone tonight well i stopped pickin' up and this song is to let you know why   dear john i see it all now that you're gone don't you think i was too young to be messed with the girl in the dress cried the whole way home i shoulda known   well maybe it's me and my blind optimism to blame or maybe it's you and your sick need to give love and take it away and you'll add my name to your long list of traitors who don't understand and i look back in regret how i ignored when they said run as fast as you can   dear john i see it all now that you're gone don't you think i was too young to be messed with the girl in the dress cried the whole way home dear john i see it all now it was wrong don't you think nineteen's too young to be played by your dark twisted games when i loved you so i shoulda known   you are an expert at sorry and keeping lines blurry never impressed by me acing your tests all the girls that you've run dry have tired lifeless eyes 'cause you burned them out but i took your matches before fire could catch me so don't look now i'm shining like fireworks over your sad empty town yeah oh oh oh oh oh oh   dear john i see it all now that you're gone don't you think i was too young to be messed with the girl in the dress cried the whole way home i see it all now that you're gone don't you think i was too young to be messed with the girl in the dress wrote you a song you shoulda known   you shoulda known don't you think i was too young you shoulda known""]",5.0,3.0,6.0,11.0,1.0,2.0,4.0,2.0,2.0,0.0,1.0
71,Speak Now,Mean,Taylor Swift,,0.568,0.761,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.974,4,237733,False,E,major,E major,"[""you with your words like knives and swords and weapons that you use against me you have knocked me off my feet again got me feeling like i'm nothing you with your voice like nails on a chalkboard calling me out when i'm wounded you picking on the weaker man  pre well you can take me down with just one single blow but you don't know what you don't know   someday i'll be living in a big old city and all you're ever gonna be is mean someday i'll be big enough so you can't hit me and all you're ever gonna be is mean why you gotta be so mean   you with your switching sides and your wildfire lies and your humiliation you have pointed out my flaws again as if i don't already see them i walk with my head down trying to block you out 'cause i'll never impress you i just wanna feel okay again  pre i bet you got pushed around somebody made you cold but the cycle ends right now 'cause you can't lead me down that road and you don't know what you don't know   someday i'll be living in a big old city and all you're ever gonna be is mean someday i'll be big enough so you can't hit me and all you're ever gonna be is mean why you gotta be so mean   and i can see you years from now in a bar talking over a football game with that same big loud opinion but nobody's listening washed up and ranting about the same old bitter things drunk and grumbling on about how i can't sing but all you are is mean all you are is mean and a liar and pathetic and alone in life and mean and mean and mean and mean  breakdown but someday i'll be living in a big old city and all you're ever gonna be is mean yeah   someday i'll be big enough so you can't hit me and all you're ever gonna be is mean why you gotta be so mean someday i'll be living in a big old city why you gotta be so mean and all you're ever gonna be is mean why you gotta be so mean someday i'll be big enough so you can't hit me why you gotta be so mean and all you're ever gonna be is mean why you gotta be so mean""]",26.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,26.0,3.0
73,Speak Now,Never Grow Up,Taylor Swift,,0.714,0.305,2,-8.837,1,0.0305,0.819,0.0,0.174,0.554,124.91,4,290467,False,D,major,D major,"[""your little hand's wrapped around my finger and it's so quiet in the world tonight your little eyelids flutter cause you're dreaming so i tuck you in turn on your favorite night light to you everything's funny you got nothing to regret i'd give all i have honey if you could stay like that   oh darling don't you ever grow up don't you ever grow up just stay this little oh darling don't you ever grow up don't you ever grow up it could stay this simple i won't let nobody hurt you won't let no one break your heart and no one will desert you just try to never grow up never grow up   you're in the car on the way to the movies and you're mortified your mom's dropping you off at fourteen there's just so much you can't do and you can't wait to move out someday and call your own shots but don't make her drop you off around the block remember that she's getting older too and don't lose the way that you dance around in your pj's getting ready for school   oh darling don't you ever grow up don't you ever grow up just stay this little oh darling don't you ever grow up don't you ever grow up it could stay this simple no one's ever burned you nothing's ever left you scarred and even though you want to just try to never grow up   take pictures in your mind of your childhood room memorize what it sounded like when your dad gets home remember the footsteps remember the words said and all your little brother's favorite songs i just realized everything i have is someday gonna be gone so here i am in my new apartment in a big city they just dropped me off it's so much colder than i thought it would be so i tuck myself in and turn my night light on wish i'd never grown up i wish i'd never grown up   oh i don't wanna grow up wish i'd never grown up i could still be little oh i don't wanna grow up wish i'd never grown up it could still be simple oh darling don't you ever grow up don't you ever grow up just stay this little oh darling don't you ever grow up don't you ever grow up it could stay this simple won't let nobody hurt you won't let no one break your heart and even though you want to please try to never grow up oh don't you ever grow up oh never grow up just never grow up""]",5.0,4.0,1.0,13.0,1.0,0.0,9.0,0.0,2.0,2.0,0.0
74,Speak Now,Enchanted,Taylor Swift,,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,4,352187,False,G#,major,G# major,"[""there i was again tonight forcing laughter faking smiles same old tired lonely place walls of insincerity shifting eyes and vacancy vanished when i saw your face all i can say is it was enchanting to meet you   your eyes whispered have we met across the room your silhouette starts to make its way to me the playful conversation starts counter all your quick remarks like passing notes in secrecy and it was enchanting to meet you all i can say is i was enchanted to meet you   this night is sparkling don't you let it go i'm wonderstruck blushing all the way home i'll spend forever wondering if you knew i was enchanted to meet you   the lingering question kept me up am who do you love i wonder 'til i'm wide awake and now i'm pacing back and forth wishing you were at my door i'd open up and you would say hey it was enchanting to meet you all i know is i was enchanted to meet you    this night is sparkling don't you let it go i'm wonderstruck blushing all the way home i'll spend forever wondering if you knew this night is flawless don't you let it go i'm wonderstruck dancing around all alone i'll spend forever wondering if you knew i was enchanted to meet you      this is me praying that this was the very first page not where the storyline ends my thoughts will echo your name until i see you again these are the words i held back as i was leaving too soon i was enchanted to meet you  breakdown please don't be in love with someone else please don't have somebody waiting on you please don't be in love with someone else please don't have somebody waiting on you    this night is sparkling don't you let it go i'm wonderstruck blushing all the way home i'll spend forever wondering if you knew this night is flawless don't you let it go i'm wonderstruck dancing around all alone i'll spend forever wondering if you knew i was enchanted to meet you   please don't be in love with someone else please don't have somebody waiting on you""]",2.0,4.0,4.0,0.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0
75,Speak Now,Better Than Revenge,Taylor Swift,,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,4,217160,False,B,minor,B minor,"[""now go stand in the corner and think about what you did ha time for a little revenge   the story starts when it was hot and it was summer and i had it all i had him right there where i wanted him she came along got him alone and let's hear the applause she took him faster than you can say sabotage  pre  i never saw it coming wouldn't have suspected it i underestimated just who i was dealing with she had to know the pain was beating on me like a drum she underestimated just who she was stealing from   she's not a saint and she's not what you think she's an actress whoa she's better known for the things that she does on the mattress whoa soon she's gonna find stealing other people's toys on the playground won't make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha   she looks at life like it's a party and she's on the list she looks at me like i'm a trend and she's so over it i think her everpresent frown is a little troubling and she thinks i'm psycho 'cause i like to rhyme her name with things  pre  but sophistication isn't what you wear or who you know or pushing people down to get you where you wanna go oh they didn't teach you that in prep school so it's up to me but no amount of vintage dresses gives you dignity think about what you did   she's not a saint and she's not what you think she's an actress whoa she's better known for the things that she does on the mattress whoa soon she's gonna find stealing other people's toys on the playground won't make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha   i'm just another thing for you to roll your eyes at honey you might have him but haven't you heard i'm just another thing for you to roll your eyes at honey you might have him but i always get the last word whoa whoaahoh   she's not a saint and she's not what you think she's an actress whoa she deserved it she's better known for the things that she does on the mattress whoa soon she's gonna find stealing other people's toys on the playground won't make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha   do you still feel like you know what you're doing 'cause i don't think you do oh no no no no do you still feel like you know what you're doing no i don't think you do i don't think you do let's hear the applause come on come on come on show me how much better you are so much better yeah see you deserve some applause 'cause you're so much better she took him faster than you could say sabotage""]",3.0,15.0,4.0,5.0,4.0,9.0,0.0,2.0,4.0,3.0,0.0
76,Speak Now,Innocent,Taylor Swift,,0.552,0.608,1,-5.29,0,0.0259,0.186,0.0,0.125,0.17,134.05,4,302253,False,C#,minor,C# minor,"[""i guess you really did it this time left yourself in your war path lost your balance on a tightrope lost your mind trying to get it back  pre  wasn't it easier in your lunchbox days always a bigger bed to crawl into wasn't it beautiful when you believed in everything and everybody believed in you   it's alright just wait and see your string of lights is still bright to me oh who you are is not where you've been you're still an innocent you're still an innocent   did some things you can't speak of but at night you live it all again you wouldn't be shattered on the floor now if only you had seen what you know now then  pre  wasn't it easier in your fireflycatching days when everything out of reach someone bigger brought down to you wasn't it beautiful running wild 'til you fell asleep before the monsters caught up to you   it's alright just wait and see your string of lights is still bright to me oh who you are is not where you've been you're still an innocent it's okay life is a tough crowd  and still growing up now who you are is not what you did you're still an innocent   time turns flames to embers you'll have new septembers every one of us has messed up too lives change like the weather i hope you remember today is never too late to be brand new oh   it's alright just wait and see your string of lights is still bright to me oh who you are is not where you've been you're still an innocent it's okay life is a tough crowd  and still growing up now who you are is not what you did you're still an innocent you're still an innocent   lost your balance on a tightrope it's never too late to get it back""]",3.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
77,Speak Now,Haunted,Taylor Swift,,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08e-06,0.149,0.352,162.088,4,242080,False,F,major,F major,"[""you and i walk a fragile line i have known it all this time but i never thought i'd live to see it break it's getting dark and it's all too quiet and i can't trust anything now and it's coming over you like it's all a big mistake  pre whoa holding my breath won't lose you again something's made your eyes go cold   come on come on don't leave me like this i thought i had you figured out something's gone terribly wrong you're all i wanted come on come on don't leave me like this i thought i had you figured out can't breathe whenever you're gone can't turn back now i'm haunted   stood there and watched you walk away from everything we had but i still mean every word i said to you he will try to take away my pain and he just might make me smile but the whole time i'm wishing it was you instead  pre oh holding my breath won't see you again something keeps me holding onto nothing   come on come on don't leave me like this i thought i had you figured out something's gone terribly wrong you're all i wanted come on come on don't leave me like this i thought i had you figured out can't breathe whenever you're gone can't turn back now i'm haunted   i know i know i just know you're not gone you can't be gone no   come on come on don't leave me like this i thought i had you figured out something's gone terribly wrong won't finish what you started come on come on don't leave me like this i thought i had you figured out can't breathe whenever you're gone can't go back i'm haunted oh oh oh oh oh oh oh oh oh   you and i walk a fragile line i have known it all this time never ever thought i'd see it break never thought i'd see it""]",10.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0
78,Speak Now,Last Kiss,Taylor Swift,,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09e-05,0.101,0.196,89.038,1,367133,False,A#,major,A# major,"[""i still remember the look on your face lit through the darkness at 58 the words that you whispered for just us to know you told me you loved me so why did you go away away   i do recall now the smell of the rain fresh on the pavement i ran off the plane that july 9th the beat of your heart it jumps through your shirt i can still feel your arms   but now i'll go sit on the floor wearing your clothes all that i know is i don't know how to be something you miss i never thought we'd have a last kiss never imagined we'd end like this your name forever the name on my lips   i do remember the swing of your step the life of the party you're showing off again and i roll my eyes and then you pull me in i'm not much for dancing but for you i did  4 because i love your handshake meeting my father i love how you walk with your hands in your pockets how you'd kiss me when i was in the middle of saying something there's not a day i don't miss those rude interruptions   and i'll go sit on the floor wearing your clothes all that i know is i don't know how to be something you miss i never thought we'd have a last kiss i never imagined we'd end like this your name forever the name on my lips ooh   so i'll watch your life in pictures like i used to watch you sleep and i feel you forget me like i used to feel you breathe and i keep up with our old friends just to ask them how you are hope it's nice where you are and i hope the sun shines and it's a beautiful day and something reminds you you wish you had stayed you can plan for a change in weather and time but i never planned on you changing your mind   so i'll go sit on the floor wearing your clothes all that i know is i don't know how to be something you miss i never thought we'd have a last kiss never imagined we'd end like this your name forever the name on my lips just like our last kiss forever the name on my lips forever the name on my lips   just like our last""]",1.0,7.0,4.0,1.0,3.0,4.0,1.0,11.0,3.0,4.0,1.0
79,Speak Now,Long Live,Taylor Swift,,0.418,0.68,7,-4.3,1,0.0347,0.036,7.59e-05,0.114,0.142,204.12,4,317453,False,G,major,G major,"[""i said remember this moment in the back of my mind the time we stood with our shaking hands the crowds in stands went wild we were the kings and the queens and they read off our names the night you danced like you knew our lives would never be the same you held your head like a hero on a history book page it was the end of a decade but the start of an age   long live the walls we crashed through all the kingdom lights shined just for me and you i was screaming long live all the magic we made and bring on all the pretenders one day we will be remembered   i said remember this feeling i passed the pictures around of all the years that we stood there on the sidelines wishing for right now we are the kings and the queens you traded your baseball cap for a crown when they gave us our trophies and we held them up for our town and the cynics were outraged screaming this is absurd 'cause for a moment a band of thieves in ripped up jeans got to rule the world   long live the walls we crashed through all the kingdom lights shined just for me and you i was screaming long live all the magic we made and bring on all the pretenders i'm not afraid long live all the mountains we moved i had the time of my life fighting dragons with you i was screaming long live that look on your face and bring on all the pretenders one day we will be remembered   hold on to spinning around confetti falls to the ground may these memories break our fall  breakdown will you take a moment promise me this that you'll stand by me forever but if god forbid fate should step in and force us into a goodbye if you have children some day when they point to the pictures please tell them my name tell them how the crowds went wild tell them how i hope they shine long live the walls we crashed through i had the time of my life with you   long long live the walls we crashed through all the kingdom lights shined just for me and you i was screaming long live all the magic we made and bring on all the pretenders i'm not afraid singing long live all the mountains we moved i had the time of my life fighting dragons with you and long long live that look on your face and bring on all the pretenders one day we will be remembered""]",5.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,2.0,1.0
80,Speak Now,Ours,Taylor Swift,,0.608,0.569,0,-7.227,1,0.0284,0.537,0.0,0.097,0.238,159.845,4,237920,False,C,major,C major,"[""elevator buttons and morning air strangers' silence makes me want to take the stairs if you were here we'd laugh about their vacant stares but right now my time is theirs seems like there's always someone who disapproves they'll judge it like they know about me and you and the verdict comes from those with nothing else to do the jury's out but my choice is you   so don't you worry your pretty little mind people throw rocks at things that shine and life makes love look hard the stakes are high the water's rough but this love is ours   you never know what people have up their sleeves ghosts from your past gonna jump out at me lurking in the shadows with their lip gloss smiles but i don't care 'cause right now you're mine   and you'll say don't you worry your pretty little mind people throw rocks at things that shine and life makes love look hard the stakes are high the water's rough but this love is ours   and it's not theirs to speculate if it's wrong and your hands are tough but they are where mine belong and i'll fight their doubt and give you faith with this song for you  breakdown 'cause i love the gap between your teeth and i love the riddles that you speak and any snide remarks from my father about your tattoos will be ignored 'cause my heart is yours   so don't you worry your pretty little mind people throw rocks at things that shine and life makes love look hard don't you worry your pretty little mind people throw rocks at things that shine but they can't take what's ours they can't take what's ours   the stakes are high the water's rough but this love is ours""]",6.0,10.0,9.0,6.0,3.0,9.0,1.0,8.0,0.0,2.0,0.0
82,Speak Now,Superman,Taylor Swift,,0.582,0.765,7,-3.648,1,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,4,275960,False,G,major,G major,"[""tall dark and superman he puts papers in his briefcase and drives away to save the world or go to work it's the same thing to me he's got his mother's eyes his father's ambition i wonder if he knows how much that i miss him i hang on every word you say yay and you smile and say how are you i say just fine i always forget to tell you i love you i love you forever   i watch superman fly away you've got a busy day today go save the world i'll be around i watch superman fly away come back i'll be with you someday i'll be right here on the ground when you come back down   tall dark and beautiful he's complicated he's irrational but i hope someday you'll take me away and save the day yeah something in his deep brown eyes has me sayin' he's not all bad like his reputation and i can't hear one single word they say and you'll leave got places to be and i'll be okay i always forget to tell you i love you i loved you from the very first day   i watch superman fly away you've got a busy day today go save the world i'll be around i watch superman fly away come back i'll be with you someday i'll be right here on the ground when you come back down   and i watch you fly around the world and i hope you don't save some other girl don't forget don't forget about me i'm far away but i never let you go i'm lovestruck and looking out the window don't forget don't forget where i'll be  breakdown right here wishing the flowers were from you wishing the card was from you wishing the call was from you 'cause i loved you from the very first day    variation i watch superman fly away you've got a busy day today go save the world i'll be around forever and ever here i watch superman fly away i swear i'll be with you someday i'll be right here on the ground when you come back down   la la la la la la la la la la la la when you come back down""]",2.0,7.0,6.0,1.0,10.0,6.0,1.0,5.0,1.0,1.0,1.0
87,Red,Red,Taylor Swift,,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,4,220827,False,C#,minor,C# minor,"[""loving him is like driving a new maserati down a deadend street faster than the wind passionate as sin ending so suddenly loving him is like trying to change your mind once you're already flying through the free fall like the colors in autumn so bright just before they lose it all   losing him was blue like i'd never known missing him was dark grey all alone forgetting him was like trying to know somebody you never met but loving him was red loving him was red   touching him was like realizing all you ever wanted was right there in front of you memorizing him was as easy as knowing all the words to your old favorite song fighting with him was like trying to solve a crossword and realizing there's no right answer regretting him was like wishing you never found out that love could be that strong   losing him was blue like i'd never known missing him was dark grey all alone forgetting him was like trying to know somebody you never met but loving him was red oh red burning red   remembering him comes in flashbacks and echoes tell myself it's time now gotta let go but moving on from him is impossible when i still see it all in my head in burning red loving him was red   oh losing him was blue like i'd never known missing him was dark grey all alone forgetting him was like trying to know somebody you never met 'cause loving him was red yeah yeah red we're burning red  breakdown and that's why he's spinning 'round in my head comes back to me burning red yeah yeah   his love was like driving a new maserati down a deadend street""]",9.0,2.0,2.0,6.0,2.0,2.0,6.0,10.0,5.0,0.0,0.0
88,Red,Treacherous,Taylor Swift,,0.705,0.621,2,-8.086,1,0.0334,0.101,4.3e-06,0.147,0.395,109.993,4,240773,False,D,major,D major,"[""put your lips close to mine as long as they don't touch out of focus eye to eye 'til the gravity's too much and i'll do anything you say if you say it with your hands and i'd be smart to walk away but you're quicksand    this slope is treacherous this path is reckless this slope is treacherous and iii like it   i can't decide if it's a choice getting swept away i hear the sound of my own voice asking you to stay and all we are is skin and bone trained to get along forever going with the flow but you're friction    this slope is treacherous this path is reckless this slope is treacherous and i i i like it   two headlights shine through the sleepless night and i will get you get you alone your name has echoed through my mind and i just think you should think you should know that nothing safe is worth the drive and i will follow you follow you home follow you follow you home    this hope is treacherous this daydream is dangerous this hope is treacherous iii iii iii  breakdown two headlights shine through the sleepless night and i will get you get you alone your name has echoed through my mind and i just think you should think you should know that nothing safe is worth the drive and i will follow you follow you home follow you follow you home i'll follow you follow you home follow you follow you home   this slope is treacherous iii like it""]",2.0,2.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0
90,Red,All Too Well,Taylor Swift,,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,4,327893,False,C,major,C major,"[""i walked through the door with you the air was cold but something 'bout it felt like home somehow and i left my scarf there at your sister's house and you've still got it in your drawer even now   oh your sweet disposition and my wideeyed gaze we're singing in the car getting lost upstate autumn leaves falling down like pieces into place and i can picture it after all these days  pre  and i know it's long gone and that magic's not here no more and i might be okay but i'm not fine at all oh oh oh    'cause there we are again on that little town street you almost ran the red 'cause you were looking over at me wind in my hair i was there i remember it all too well   photo album on the counter your cheeks were turning red you used to be a little kid with glasses in a twinsized bed and your mother's telling stories 'bout you on the teeball team you tell me 'bout your past thinking your future was me  pre  and i know it's long gone and there was nothing else i could do and i forget about you long enough to forget why i needed to    'cause there we are again in the middle of the night we're dancing round the kitchen in the refrigerator light down the stairs i was there i remember it all too well yeah   maybe we got lost in translation maybe i asked for too much but maybe this thing was a masterpiece 'til you tore it all up running scared i was there i remember it all too well and you call me up again just to break me like a promise so casually cruel in the name of being honest i'm a crumpled up piece of paper lying here 'cause i remember it all all all too well   time won't fly it's like i'm paralyzed by it i'd like to be my old self again but i'm still trying to find it after plaid shirt days and nights when you made me your own now you mail back my things and i walk home alone but you keep my old scarf from that very first week 'cause it reminds you of innocence and it smells like me you can't get rid of it 'cause you remember it all too well yeah    'cause there we are again when i loved you so back before you lost the one real thing you've ever known it was rare i was there i remember it all too well   wind in my hair you were there you remember it all down the stairs you were there you remember it all it was rare i was there i remember it all too well""]",7.0,3.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
91,Red,22,Taylor Swift,,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,4,230133,False,G,major,G major,"[""it feels like a perfect night to dress up like hipsters and make fun of our exes uhuh uhuh it feels like a perfect night for breakfast at midnight to fall in love with strangers uhuh uhuh  pre yeah we're happy free confused and lonely at the same time it's miserable and magical oh yeah tonight's the night when we forget about the deadlines it's time ohoh   i don't know about you but i'm feeling  everything will be alright if you keep me next to you you don't know about me but i'll bet you want to everything will be alright if we just keep dancing like we're     it seems like one of those nights this place is too crowded too many cool kids uhuh uhuh who's taylor swift anyway ew it seems like one of those nights we ditch the whole scene and end up dreaming instead of sleeping  pre yeah we're happy free confused and lonely in the best way it's miserable and magical oh yeah tonight's the night when we forget about the heartbreaks it's time ohoh   hey i don't know about you but i'm feeling  everything will be alright ooh if you keep me next to you you don't know about me but i'll bet you want to everything will be alright if alright we just keep dancing like we're  oh oh oh oh oh  i don't know about you     it feels like one of those nights we ditch the whole scene it feels like one of those nights we won't be sleeping it feels like one of those nights you look like bad news i gotta have you i gotta have you ooh ooh yeah   hey i don't know about you but i'm feeling  everything will be alright if ooh you keep me next to you you don't know about me but i'll bet you want to everything will be alright if we just keep dancing like we're  whoa oh  dancing like  yeah yeah  yeah yeah yeah   it feels like one of those nights we ditch the whole scene it feels like one of those nights we won't be sleeping it feels like one of those nights you look like bad news i gotta have you i gotta have you""]",4.0,12.0,3.0,1.0,0.0,7.0,1.0,1.0,6.0,2.0,7.0
92,Red,I Almost Do,Taylor Swift,,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13e-05,0.182,0.233,145.865,4,242573,False,E,major,E major,['i bet this time of night youre still up i bet youre tired from a long hard week i bet youre sitting in your chair by the window looking out at the city and i bet sometimes you wonder about me   and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i dont i almost do i almost do   i bet you think i either moved on or hate you cause each time you reach out theres no reply i bet it never ever occurred to you that i cant say hello to you and risk another goodbye   and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i dont i almost do i almost do   oh we made quite a mess babe its probably better off this way and i confess babe in my dreams youre touching my face and asking me if i want to try again with you and i almost do   and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i dont i almost do i almost do   i bet this time of night youre still up i bet youre tired from a long hard week i bet youre sitting in your chair by the window looking out at the city and i hope sometimes you wonder about me'],4.0,8.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0,1.0
93,Red,We Are Never Ever Getting Back Together,Taylor Swift,,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,4,191880,False,G,major,G major,"[""i remember when we broke up the first time saying this is it i've had enough 'cause like we hadn't seen each other in a month when you said you needed space what then you come around again and say baby i miss you and i swear i'm gonna change trust me remember how that lasted for a day i say i hate you we break up you call me i love you  pre  oohoohoohoohooh we called it off again last night but oohoohoohoohooh this time i'm telling you i'm telling you   we are never ever ever getting back together we are never ever ever getting back together you go talk to your friends talk to my friends talk to me but we are never ever ever ever getting back together like ever   i'm really gonna miss you picking fights and me falling for it screaming that i'm right and you would hide away and find your peace of mind with some indie record that's much cooler than mine  pre  oohoohoohoohooh you called me up again tonight but oohoohoohoohooh this time i'm telling you i'm telling you   we are never ever ever getting back together we are never ever ever ever getting back together you go talk to your friends talk to my friends talk to me talk to me but we are never ever ever ever getting back together  post oohoohoohoohooh yeah oohoohoohoohooh yeah oohoohoohoohooh yeah ohohoh   i used to think that we were forever ever and i used to say never say never ugh so he calls me up and he's like i still love you and i'm like i just i mean this is exhausting you know like we are never getting back together like ever   we are never ever ever getting back together we are never ever ever ooh getting back together you go talk to your friends talk to my friends talk to me but we are never ever ever ever getting back together   we oohoohoohoohooh oohoohooh no getting back together we oohoohoohoohooh oh oh yeah getting back together you go talk to your friends talk to my friends talk to me talk to me but we are never ever ever ever getting back together""]",4.0,3.0,11.0,1.0,21.0,2.0,1.0,2.0,1.0,1.0,1.0
94,Red,Stay Stay Stay,Taylor Swift,,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29e-06,0.09,0.928,99.981,4,204827,False,C,major,C major,"[""i'm pretty sure we almost broke up last night i threw my phone across the room at you i was expecting some dramatic turn away but you stayed this morning i said we should talk about it 'cause i read you should never leave a fight unresolved that's when you came in wearing a football helmet and said okay let's talk and i said   stay stay stay i've been loving you for quite some time time time you think that it's funny when i'm mad mad mad but i think that it's best if we both stay   before you i'd only dated selfindulgent takers who took all of their problems out on me but you carry my groceries and now i'm always laughing and i love you because you have given me no choice but to   stay stay stay i've been loving you for quite some time time time you think that it's funny when i'm mad mad mad but i think that it's best if we both stay stay stay stay   you took the time to memorize me my fears my hopes and dreams i just like hanging out with you all the time all those times that you didn't leave it's been occurring to me i'd like to hang out with you for my whole life  breakdown stay and i'll be loving you for quite some time no one else is gonna love me when i get mad mad mad so i think that it's best if we both stay stay stay stay stay stay   stay stay stay i've been loving you for quite some time time time you think that it's funny when i'm mad mad mad but i think that it's best if we both stay stay stay stay stay stay   stay stay stay i've been loving you for quite some time time time you think that it's funny when i'm mad mad mad but i think that it's best if we both stay hahaha it's so fun""]",16.0,2.0,8.0,5.0,2.0,2.0,12.0,7.0,0.0,16.0,15.0
